SKU,month,site_id,production_volume,batch_count,batch_yield_avg_pct,rft_pct,schedule_adherence_pct,avg_cycle_time_hr,formulation_lead_time_hr,deviations_per_100_batches,alarms_per_1000_hours,lab_turnaround_median_days,supplier_otif_pct,oee_packaging_pct,target_otif_pct,target_rft_pct,target_oee_packaging_pct,OTIF_RAG,RFT_RAG,OEE_RAG
SKU_123,2025-01,FCTN-PLANT-01,5116337,34,96.99794118,76.47,94.12,17.45470588,16.82,8.823529412,48.86597243,1.708015039,100,81.795,95,92,80,Amber,Red,Green
SKU_123,2025-02,FCTN-PLANT-01,2104818,31,97.80322581,64.52,100,20.08193548,19.24,22.58064516,30.52012722,1.598864823,75,72.7,95,92,80,Green,Red,Red
SKU_123,2025-03,FCTN-PLANT-01,2931881,38,97.36684211,71.05,92.11,19.65894737,18.91,21.05263158,48.19019062,1.703437862,60,75.43,95,92,80,Amber,Red,Amber
SKU_123,2025-04,FCTN-PLANT-01,1845293,24,97.79083333,58.33,83.33,19.35791667,18.63,20.83333333,40.89627413,1.593582528,38.89,73.9025,95,92,80,Red,Red,Red
SKU_123,2025-05,FCTN-PLANT-01,3378401,29,97.13206897,65.52,100,18.45137931,17.78,24.13793103,31.77035639,1.620696249,64.29,73.114,95,92,80,Green,Red,Red
SKU_123,2025-06,FCTN-PLANT-01,2309688,20,97.886,70,95,19.3855,18.72,20,51.58494751,1.458610769,57.14,76.032,95,92,80,Green,Red,Amber
SKU_123,2025-07,FCTN-PLANT-01,4047662,32,97.7409375,75,93.75,18.4075,17.85,12.5,42.44193943,1.614510484,64.71,78.47,95,92,80,Amber,Red,Amber
SKU_123,2025-08,FCTN-PLANT-01,5199459,36,96.75444444,72.22,91.67,18.55888889,17.94,13.88888889,44.90211339,1.698178154,50,76.5375,95,92,80,Amber,Red,Amber
SKU_123,2025-09,FCTN-PLANT-01,4990149,28,97.19178571,60.71,100,16.95178571,16.38,21.42857143,54.77720426,1.66218207,58.33,72.1825,95,92,80,Green,Red,Red
SKU_123,2025-10,FCTN-PLANT-01,2506337,34,97.75088235,64.71,82.35,19.51382353,19.51,14.70588235,48.23126893,1.564313433,50,81.104,95,92,80,Red,Red,Green
SKU_456,2025-11,FCTN-PLANT-01,6157755,23,97.15347826,52.17,91.3,14.64826087,14.21,26.08695652,59.36303464,1.675482601,31.25,74.34,95,92,80,Amber,Red,Red
SKU_456,2025-12,FCTN-PLANT-01,2896091,40,97.68225,62.5,97.5,18.84925,18.32,27.5,61.01038503,1.644479484,61.54,73.932,95,92,80,Green,Red,Red
SKU_456,2026-01,FCTN-PLANT-01,129969,7,96.84,85.71,100,20.04142857,19.45,0,35.64045905,1.452188311,70,,95,92,80,Green,Red,Grey
